car,model,body part,shop1 (eqbal),shop2(haraj),shop3 
tahoe,2021,side bumper(r),null,470,600
tahoe,2022,car boot,7500,8100,7000
tahoe,2022,car hood,1722,3000,5961
tahoe,2022,driver door(f/r),5000,5500,6500
tahoe,2022,fender (f/l),407,980,2000
tahoe,2022,fender (f/r),407,980,2000
tahoe,2022,fender (r/l),3200,3000,5700
tahoe,2022,fender (r/r),3200,3000,5700
tahoe,2022,front bumper,2060,2830,3312
tahoe,2022,headlight (l),1030,2700,4400
tahoe,2022,headlight (r),1030,2700,4400
tahoe,2022,passenger door (f/l),5000,5500,6500
tahoe,2022,passenger door (r/l),5000,7500,5500
tahoe,2022,passenger door (r/r),5000,7500,5500
tahoe,2022,rear bumper,3500,3200,4168
tahoe,2022,rear light (l),2500,615,1666
tahoe,2022,rear light (r),2500,615,400
tahoe,2022,side bumper(l),null,200,400
tahoe,2022,side bumper(r),null,200,400
tahoe,2023,car boot,6800,5490,7000
tahoe,2023,car hood,1722,5500,6500
tahoe,2023,driver door(f/r),5500,5000,6500
tahoe,2023,fender (f/l),407,1600,2849
tahoe,2023,fender (f/r),407,1600,2849
